Symbol,Date,Percentage,
AAPL,27-05-2022,149.64,
AAPL,26-05-2022,143.78,
AAPL,25-05-2022,140.52,
AAPL,24-05-2022,140.36,
AAPL,23-05-2022,143.11,
AAPL,20-05-2022,137.59,
AAPL,19-05-2022,137.35,
AAPL,18-05-2022,140.82,
AAPL,17-05-2022,149.24,
AAPL,16-05-2022,145.54,
AAPL,13-05-2022,147.11,
AAPL,12-05-2022,142.56,
AAPL,11-05-2022,146.5,
AAPL,10-05-2022,154.51,
AAPL,09-05-2022,152.06,
AAPL,06-05-2022,157.28,
AAPL,05-05-2022,156.77,
AAPL,04-05-2022,166.02,
AAPL,03-05-2022,159.48,
AAPL,02-05-2022,157.96,
AAPL,29-04-2022,157.65,
AAPL,28-04-2022,163.64,
AAPL,27-04-2022,156.57,
AAPL,26-04-2022,156.8,
AAPL,25-04-2022,162.88,
AAPL,22-04-2022,161.79,
AAPL,21-04-2022,166.42,
AAPL,20-04-2022,167.23,
AAPL,19-04-2022,167.4,
AAPL,18-04-2022,165.07,
AAPL,14-04-2022,165.29,
AAPL,13-04-2022,170.4,
AAPL,12-04-2022,167.66,
AAPL,11-04-2022,165.75,
AAPL,08-04-2022,170.09,
AAPL,07-04-2022,172.14,
AAPL,06-04-2022,171.83,
AAPL,05-04-2022,175.06,
AAPL,04-04-2022,178.44,
AAPL,01-04-2022,174.31,
AAPL,31-03-2022,174.61,
AAPL,30-03-2022,177.77,
AAPL,29-03-2022,178.96,
AAPL,28-03-2022,175.6,
AAPL,25-03-2022,174.72,
AAPL,24-03-2022,174.07,
AAPL,23-03-2022,170.21,
AAPL,22-03-2022,168.82,
AAPL,21-03-2022,165.38,
AAPL,18-03-2022,163.98,
AAPL,17-03-2022,160.62,
AAPL,16-03-2022,159.59,
AAPL,15-03-2022,155.09,
AAPL,14-03-2022,150.62,
AAPL,11-03-2022,154.73,
AAPL,10-03-2022,158.52,
AAPL,09-03-2022,162.95,
AAPL,08-03-2022,157.44,
AAPL,07-03-2022,159.3,
AAPL,04-03-2022,163.17,
AAPL,03-03-2022,166.23,
AAPL,02-03-2022,166.56,
AAPL,01-03-2022,163.2,
AAPL,28-02-2022,165.12,
AAPL,25-02-2022,164.85,
AAPL,24-02-2022,162.74,
AAPL,23-02-2022,160.07,
AAPL,22-02-2022,164.32,
AAPL,18-02-2022,167.3,
AAPL,17-02-2022,168.88,
AAPL,16-02-2022,172.55,
AAPL,15-02-2022,172.79,
AAPL,14-02-2022,168.88,
AAPL,11-02-2022,168.64,
AAPL,10-02-2022,172.12,
AAPL,09-02-2022,176.28,
AAPL,08-02-2022,174.83,
AAPL,07-02-2022,171.66,
AAPL,04-02-2022,172.39,
AAPL,03-02-2022,172.9,
AAPL,02-02-2022,175.84,
AAPL,01-02-2022,174.61,
AAPL,31-01-2022,174.78,
AAPL,28-01-2022,170.33,
AAPL,27-01-2022,159.22,
AAPL,26-01-2022,159.69,
AAPL,25-01-2022,159.78,
AAPL,24-01-2022,161.62,
AAPL,21-01-2022,162.41,
AAPL,20-01-2022,164.51,
AAPL,19-01-2022,166.23,
AAPL,18-01-2022,169.8,
AAPL,14-01-2022,173.07,
AAPL,13-01-2022,172.19,
AAPL,12-01-2022,175.53,
AAPL,11-01-2022,175.08,
AAPL,10-01-2022,172.19,
AAPL,07-01-2022,172.17,
AAPL,06-01-2022,172,
AAPL,05-01-2022,174.92,
AAPL,04-01-2022,179.7,
AAPL,03-01-2022,182.01,
AAPL,31-12-2021,177.57,
AAPL,30-12-2021,178.2,
AAPL,29-12-2021,179.38,
AAPL,28-12-2021,179.29,
AAPL,27-12-2021,180.33,
AAPL,23-12-2021,176.28,
AAPL,22-12-2021,175.64,
AAPL,21-12-2021,172.99,
AAPL,20-12-2021,169.75,
AAPL,17-12-2021,171.14,
AAPL,16-12-2021,172.26,
AAPL,15-12-2021,179.3,
AAPL,14-12-2021,174.33,
AAPL,13-12-2021,175.74,
AAPL,10-12-2021,179.45,
AAPL,09-12-2021,174.56,
AAPL,08-12-2021,175.08,
AAPL,07-12-2021,171.18,
AAPL,06-12-2021,165.32,
AAPL,03-12-2021,161.84,
AAPL,02-12-2021,163.76,
AAPL,01-12-2021,164.77,
AAPL,30-11-2021,165.3,
AAPL,29-11-2021,160.24,
AAPL,26-11-2021,156.81,
AAPL,24-11-2021,161.94,
AAPL,23-11-2021,161.41,
AAPL,22-11-2021,161.02,
AAPL,19-11-2021,160.55,
AAPL,18-11-2021,157.87,
AAPL,17-11-2021,153.49,
AAPL,16-11-2021,151,
AAPL,15-11-2021,150,
AAPL,12-11-2021,149.99,
AAPL,11-11-2021,147.87,
AAPL,10-11-2021,147.92,
AAPL,09-11-2021,150.81,
AAPL,08-11-2021,150.44,
AAPL,05-11-2021,151.28,
AAPL,04-11-2021,150.96,
AAPL,03-11-2021,151.49,
AAPL,02-11-2021,150.02,
AAPL,01-11-2021,148.96,
AAPL,29-10-2021,149.8,
AAPL,28-10-2021,152.57,
AAPL,27-10-2021,148.85,
AAPL,26-10-2021,149.32,
AAPL,25-10-2021,148.64,
