Symbol,Date,Percentage
MSFT,17-06-2022,247.65
MSFT,16-06-2022,244.97
MSFT,15-06-2022,251.76
MSFT,14-06-2022,244.49
MSFT,13-06-2022,242.26
MSFT,10-06-2022,252.99
MSFT,09-06-2022,264.79
MSFT,08-06-2022,270.41
MSFT,07-06-2022,272.5
MSFT,06-06-2022,268.75
MSFT,03-06-2022,270.02
MSFT,02-06-2022,274.58
MSFT,01-06-2022,272.42
MSFT,31-05-2022,271.87
MSFT,27-05-2022,273.24
MSFT,26-05-2022,265.9
MSFT,25-05-2022,262.52
MSFT,24-05-2022,259.62
MSFT,23-05-2022,260.65
MSFT,20-05-2022,252.56
MSFT,19-05-2022,253.14
MSFT,18-05-2022,254.08
MSFT,17-05-2022,266.82
MSFT,16-05-2022,261.5
MSFT,13-05-2022,261.12
MSFT,12-05-2022,255.35
MSFT,11-05-2022,260.55
MSFT,10-05-2022,269.5
MSFT,09-05-2022,264.58
MSFT,06-05-2022,274.73
MSFT,05-05-2022,277.35
MSFT,04-05-2022,289.98
MSFT,03-05-2022,281.78
MSFT,02-05-2022,284.47
MSFT,29-04-2022,277.52
MSFT,28-04-2022,289.63
MSFT,27-04-2022,283.22
MSFT,26-04-2022,270.22
MSFT,25-04-2022,280.72
MSFT,22-04-2022,274.03
MSFT,21-04-2022,280.81
MSFT,20-04-2022,286.36
MSFT,19-04-2022,285.3
MSFT,18-04-2022,280.52
MSFT,14-04-2022,279.83
MSFT,13-04-2022,287.62
MSFT,12-04-2022,282.06
MSFT,11-04-2022,285.26
MSFT,08-04-2022,296.97
MSFT,07-04-2022,301.37
MSFT,06-04-2022,299.5
MSFT,05-04-2022,310.88
MSFT,04-04-2022,314.97
MSFT,01-04-2022,309.42
MSFT,31-03-2022,308.31
MSFT,30-03-2022,313.86
MSFT,29-03-2022,315.41
MSFT,28-03-2022,310.7
MSFT,25-03-2022,303.68
MSFT,24-03-2022,304.1
MSFT,23-03-2022,299.49
MSFT,22-03-2022,304.06
MSFT,21-03-2022,299.16
MSFT,18-03-2022,300.43
MSFT,17-03-2022,295.22
MSFT,16-03-2022,294.39
MSFT,15-03-2022,287.15
MSFT,14-03-2022,276.44
MSFT,11-03-2022,280.07
MSFT,10-03-2022,285.59
MSFT,09-03-2022,288.5
MSFT,08-03-2022,275.85
MSFT,07-03-2022,278.91
MSFT,04-03-2022,289.86
MSFT,03-03-2022,295.92
MSFT,02-03-2022,300.19
MSFT,01-03-2022,294.95
MSFT,28-02-2022,298.79
MSFT,25-02-2022,297.31
MSFT,24-02-2022,294.59
MSFT,23-02-2022,280.27
MSFT,22-02-2022,287.72
MSFT,18-02-2022,287.93
MSFT,17-02-2022,290.73
MSFT,16-02-2022,299.5
MSFT,15-02-2022,300.47
MSFT,14-02-2022,295
MSFT,11-02-2022,295.04
MSFT,10-02-2022,302.38
MSFT,09-02-2022,311.21
MSFT,08-02-2022,304.56
MSFT,07-02-2022,300.95
MSFT,04-02-2022,305.94
MSFT,03-02-2022,301.25
MSFT,02-02-2022,313.46
MSFT,01-02-2022,308.76
MSFT,31-01-2022,310.98
MSFT,28-01-2022,308.26
MSFT,27-01-2022,299.84
MSFT,26-01-2022,296.71
MSFT,25-01-2022,288.49
MSFT,24-01-2022,296.37
MSFT,21-01-2022,296.03
MSFT,20-01-2022,301.6
MSFT,19-01-2022,303.33
MSFT,18-01-2022,302.65
MSFT,14-01-2022,310.2
MSFT,13-01-2022,304.8
MSFT,12-01-2022,318.27
MSFT,11-01-2022,314.98
MSFT,10-01-2022,314.27
MSFT,07-01-2022,314.04
MSFT,06-01-2022,313.88
MSFT,05-01-2022,316.38
MSFT,04-01-2022,329.01
MSFT,03-01-2022,334.75
MSFT,31-12-2021,336.32
MSFT,30-12-2021,339.32
MSFT,29-12-2021,341.95
MSFT,28-12-2021,341.25
MSFT,27-12-2021,342.45
MSFT,23-12-2021,334.69
MSFT,22-12-2021,333.2
MSFT,21-12-2021,327.29
MSFT,20-12-2021,319.91
